Entity,Code,Year,"16.2.2 - Detected victims of human trafficking, by age and sex (number) - VC_HTF_DETV - under 18 years old - Female"
Algeria,DZA,2016,7
Angola,AGO,2017,12
Angola,AGO,2018,5
Angola,AGO,2019,5
Argentina,ARG,2010,7
Argentina,ARG,2011,11
Argentina,ARG,2012,5
Argentina,ARG,2013,10
Argentina,ARG,2014,6
Argentina,ARG,2015,13
Argentina,ARG,2016,12
Argentina,ARG,2017,21
Argentina,ARG,2018,15
Argentina,ARG,2019,31
Argentina,ARG,2020,24
Argentina,ARG,2021,55
Argentina,ARG,2022,21
Armenia,ARM,2009,5
Austria,AUT,2015,7
Austria,AUT,2017,5
Austria,AUT,2019,6
Bangladesh,BGD,2022,45
Belarus,BLR,2008,61
Belarus,BLR,2012,5
Belarus,BLR,2016,7
Belarus,BLR,2017,7
Belarus,BLR,2018,17
Belarus,BLR,2019,10
Belarus,BLR,2021,19
Belarus,BLR,2022,19
Belgium,BEL,2021,6
Belgium,BEL,2022,11
Benin,BEN,2017,174
Benin,BEN,2019,279
Benin,BEN,2020,593
Benin,BEN,2021,900
Benin,BEN,2022,675
Bolivia,BOL,2009,7
Bolivia,BOL,2012,58
Bolivia,BOL,2013,28
Bolivia,BOL,2014,23
Bolivia,BOL,2015,22
Bolivia,BOL,2016,28
Bolivia,BOL,2017,141
Bolivia,BOL,2018,105
Bolivia,BOL,2019,37
Bolivia,BOL,2020,32
Bolivia,BOL,2021,47
Bolivia,BOL,2022,35
Bosnia and Herzegovina,BIH,2011,7
Bosnia and Herzegovina,BIH,2014,13
Bosnia and Herzegovina,BIH,2021,22
Brazil,BRA,2018,5
Brazil,BRA,2019,17
Brazil,BRA,2021,6
Brazil,BRA,2022,43
Bulgaria,BGR,2011,10
Bulgaria,BGR,2012,11
Bulgaria,BGR,2013,17
Bulgaria,BGR,2014,12
Bulgaria,BGR,2017,5
Bulgaria,BGR,2020,27
Bulgaria,BGR,2021,9
Bulgaria,BGR,2022,9
Burkina Faso,BFA,2007,289
Burkina Faso,BFA,2008,161
Burkina Faso,BFA,2009,603
Burkina Faso,BFA,2010,426
Burkina Faso,BFA,2011,799
Burkina Faso,BFA,2014,351
Burkina Faso,BFA,2017,564
Burkina Faso,BFA,2020,806
Burkina Faso,BFA,2021,434
Cameroon,CMR,2017,9
Cameroon,CMR,2020,9
Canada,CAN,2012,18
Canada,CAN,2017,79
Colombia,COL,2007,6
Colombia,COL,2020,5
Congo,COG,2011,9
Costa Rica,CRI,2019,14
Costa Rica,CRI,2020,6
Costa Rica,CRI,2022,8
Cote d'Ivoire,CIV,2016,6
Cote d'Ivoire,CIV,2018,110
Cote d'Ivoire,CIV,2019,50
Cote d'Ivoire,CIV,2021,34
Cote d'Ivoire,CIV,2022,136
Croatia,HRV,2016,6
Croatia,HRV,2017,7
Croatia,HRV,2021,5
Czechia,CZE,2012,18
Czechia,CZE,2013,31
Czechia,CZE,2015,8
Denmark,DNK,2015,5
Denmark,DNK,2018,10
Denmark,DNK,2019,5
Denmark,DNK,2020,8
Denmark,DNK,2021,68
Denmark,DNK,2022,5
Dominican Republic,DOM,2011,32
Dominican Republic,DOM,2012,9
Dominican Republic,DOM,2016,20
Dominican Republic,DOM,2017,13
Dominican Republic,DOM,2018,44
Dominican Republic,DOM,2019,6
Dominican Republic,DOM,2020,11
Dominican Republic,DOM,2021,8
Dominican Republic,DOM,2022,8
Ecuador,ECU,2012,16
Ecuador,ECU,2013,50
Ecuador,ECU,2014,10
Ecuador,ECU,2017,10
Ecuador,ECU,2018,30
Egypt,EGY,2010,8
Egypt,EGY,2013,24
Egypt,EGY,2014,48
Egypt,EGY,2015,37
Egypt,EGY,2017,20
Egypt,EGY,2018,57
Egypt,EGY,2020,148
Egypt,EGY,2021,91
El Salvador,SLV,2018,6
Estonia,EST,2018,5
Finland,FIN,2016,13
Finland,FIN,2017,10
Finland,FIN,2018,6
Finland,FIN,2019,7
Finland,FIN,2020,6
Finland,FIN,2021,20
Finland,FIN,2022,5
France,FRA,2015,68
France,FRA,2016,83
France,FRA,2018,76
France,FRA,2019,68
France,FRA,2020,17
France,FRA,2021,99
France,FRA,2022,118
Germany,DEU,2007,7
Germany,DEU,2008,59
Germany,DEU,2009,73
Germany,DEU,2010,13
Germany,DEU,2011,18
Germany,DEU,2012,13
Germany,DEU,2013,14
Germany,DEU,2014,7
Germany,DEU,2015,7
Germany,DEU,2016,8
Germany,DEU,2017,62
Germany,DEU,2018,8
Germany,DEU,2019,8
Germany,DEU,2020,22
Germany,DEU,2021,68
Germany,DEU,2022,36
Ghana,GHA,2008,27
Ghana,GHA,2019,15
Ghana,GHA,2020,10
Ghana,GHA,2021,161
Greece,GRC,2016,5
Greece,GRC,2019,23
Greece,GRC,2020,39
Greece,GRC,2021,24
Greece,GRC,2022,26
Guatemala,GTM,2014,19
Guatemala,GTM,2022,14
Guinea,GIN,2013,6
Guinea,GIN,2014,12
Guinea,GIN,2015,16
Guinea,GIN,2016,12
Guinea,GIN,2017,10
Guinea,GIN,2022,5
Honduras,HND,2012,6
Honduras,HND,2013,6
Honduras,HND,2015,17
Honduras,HND,2016,7
Honduras,HND,2017,25
Honduras,HND,2018,5
Honduras,HND,2020,8
Hungary,HUN,2014,18
Hungary,HUN,2015,35
Hungary,HUN,2016,43
Hungary,HUN,2020,5
Hungary,HUN,2021,9
India,IND,2017,2037
India,IND,2018,1587
India,IND,2019,1742
India,IND,2020,1377
India,IND,2021,1570
India,IND,2022,1819
Indonesia,IDN,2018,10
Iraq,IRQ,2019,12
Ireland,IRL,2010,6
Ireland,IRL,2012,13
Ireland,IRL,2013,9
Ireland,IRL,2014,8
Ireland,IRL,2015,6
Ireland,IRL,2016,9
Ireland,IRL,2017,5
Italy,ITA,2012,102
Italy,ITA,2013,92
Italy,ITA,2014,110
Italy,ITA,2015,89
Italy,ITA,2016,96
Italy,ITA,2017,74
Italy,ITA,2018,79
Italy,ITA,2019,108
Italy,ITA,2020,100
Italy,ITA,2021,96
Italy,ITA,2022,34
Jamaica,JAM,2012,21
Kazakhstan,KAZ,2017,6
Laos,LAO,2014,42
Laos,LAO,2015,23
Lebanon,LBN,2019,6
Lithuania,LTU,2015,5
Malaysia,MYS,2017,56
Malaysia,MYS,2018,11
Malaysia,MYS,2021,33
Malaysia,MYS,2022,6
Mali,MLI,2007,5
Mali,MLI,2017,24
Mauritius,MUS,2015,10
Mexico,MEX,2008,14
Mexico,MEX,2010,26
Mexico,MEX,2011,15
Mexico,MEX,2014,12
Mexico,MEX,2015,368
Mexico,MEX,2016,41
Mexico,MEX,2017,90
Mexico,MEX,2018,87
Mexico,MEX,2020,55
Mexico,MEX,2021,5
Mexico,MEX,2022,17
Moldova,MDA,2011,7
Moldova,MDA,2012,6
Moldova,MDA,2013,8
Moldova,MDA,2017,17
Moldova,MDA,2018,11
Moldova,MDA,2019,18
Moldova,MDA,2022,43
Morocco,MAR,2017,9
Morocco,MAR,2020,37
Morocco,MAR,2021,15
Mozambique,MOZ,2012,10
Myanmar,MMR,2010,29
Myanmar,MMR,2011,9
Myanmar,MMR,2015,46
Myanmar,MMR,2016,15
Myanmar,MMR,2017,12
Myanmar,MMR,2019,72
Namibia,NAM,2018,8
Namibia,NAM,2019,10
Nepal,NPL,2009,6
Nepal,NPL,2018,50
Nepal,NPL,2020,396
Netherlands,NLD,2007,16
Netherlands,NLD,2008,5
Netherlands,NLD,2009,7
Netherlands,NLD,2010,7
Netherlands,NLD,2011,10
Netherlands,NLD,2012,25
Netherlands,NLD,2013,32
Netherlands,NLD,2014,65
Netherlands,NLD,2015,70
Netherlands,NLD,2016,54
Netherlands,NLD,2017,39
Netherlands,NLD,2018,10
Netherlands,NLD,2021,9
Netherlands,NLD,2022,13
Niger,NER,2015,18
Niger,NER,2016,18
Niger,NER,2017,44
Niger,NER,2018,7
Niger,NER,2022,27
Nigeria,NGA,2010,170
Nigeria,NGA,2011,141
Nigeria,NGA,2012,105
Nigeria,NGA,2013,387
Nigeria,NGA,2014,458
Nigeria,NGA,2015,288
Nigeria,NGA,2016,112
Nigeria,NGA,2017,360
Nigeria,NGA,2018,139
Nigeria,NGA,2019,150
Nigeria,NGA,2020,154
Nigeria,NGA,2021,585
Nigeria,NGA,2022,245
North Macedonia,MKD,2020,6
Norway,NOR,2007,19
Norway,NOR,2008,45
Norway,NOR,2009,19
Norway,NOR,2011,26
Norway,NOR,2012,30
Norway,NOR,2013,10
Norway,NOR,2014,18
Norway,NOR,2015,15
Norway,NOR,2016,9
Pakistan,PAK,2021,1310
Pakistan,PAK,2022,2170
Paraguay,PRY,2009,30
Paraguay,PRY,2013,5
Paraguay,PRY,2014,6
Paraguay,PRY,2016,13
Paraguay,PRY,2019,9
Paraguay,PRY,2020,59
Peru,PER,2009,25
Peru,PER,2010,107
Peru,PER,2011,26
Peru,PER,2014,21
Peru,PER,2015,92
Peru,PER,2016,67
Peru,PER,2017,16
Peru,PER,2018,6
Peru,PER,2019,146
Peru,PER,2020,137
Peru,PER,2021,43
Peru,PER,2022,20
Philippines,PHL,2007,5
Philippines,PHL,2008,12
Philippines,PHL,2012,15
Philippines,PHL,2013,28
Philippines,PHL,2014,39
Philippines,PHL,2015,22
Philippines,PHL,2016,40
Philippines,PHL,2021,52
Portugal,PRT,2019,5
Portugal,PRT,2021,16
Portugal,PRT,2022,7
Qatar,QAT,2008,10
Romania,ROU,2007,37
Romania,ROU,2008,23
Romania,ROU,2009,32
Romania,ROU,2010,37
Romania,ROU,2011,30
Romania,ROU,2012,43
Romania,ROU,2013,22
Romania,ROU,2014,10
Romania,ROU,2015,40
Romania,ROU,2016,42
Romania,ROU,2017,82
Romania,ROU,2018,30
Romania,ROU,2019,39
Romania,ROU,2020,49
Romania,ROU,2021,27
Romania,ROU,2022,39
Russia,RUS,2017,34
Russia,RUS,2018,89
Russia,RUS,2019,44
Russia,RUS,2020,53
Serbia,SRB,2007,16
Serbia,SRB,2008,9
Serbia,SRB,2009,15
Serbia,SRB,2010,5
Serbia,SRB,2011,6
Serbia,SRB,2012,6
Serbia,SRB,2013,5
Serbia,SRB,2022,5
Sierra Leone,SLE,2019,7
Sierra Leone,SLE,2020,9
Sierra Leone,SLE,2021,23
Sierra Leone,SLE,2022,27
Slovakia,SVK,2016,5
South Africa,ZAF,2018,5
South Africa,ZAF,2022,5
Spain,ESP,2018,11
Spain,ESP,2019,7
Spain,ESP,2022,9
Sudan,SDN,2018,17
Sweden,SWE,2021,12
Sweden,SWE,2022,16
Switzerland,CHE,2018,6
Tajikistan,TJK,2007,7
Tajikistan,TJK,2009,5
Tajikistan,TJK,2010,5
Tajikistan,TJK,2014,6
Tajikistan,TJK,2015,6
Tajikistan,TJK,2016,5
Tajikistan,TJK,2017,5
Tajikistan,TJK,2018,5
Tajikistan,TJK,2019,5
Tanzania,TZA,2019,64
Tanzania,TZA,2020,43
Tanzania,TZA,2021,44
Tanzania,TZA,2022,26
Thailand,THA,2012,141
Thailand,THA,2013,107
Thailand,THA,2014,57
Thailand,THA,2015,169
Thailand,THA,2016,42
Thailand,THA,2017,49
Thailand,THA,2018,48
Thailand,THA,2019,135
Thailand,THA,2020,13
Thailand,THA,2021,13
Thailand,THA,2022,30
Togo,TGO,2007,144
Togo,TGO,2008,213
Togo,TGO,2009,203
Togo,TGO,2010,155
Togo,TGO,2011,90
Togo,TGO,2019,11
Togo,TGO,2020,13
Togo,TGO,2021,21
Trinidad and Tobago,TTO,2019,17
Tunisia,TUN,2016,72
Tunisia,TUN,2017,160
Tunisia,TUN,2018,95
Tunisia,TUN,2019,151
Tunisia,TUN,2020,44
Tunisia,TUN,2022,174
Turkey,TUR,2015,17
Turkey,TUR,2017,80
Turkey,TUR,2019,8
Turkey,TUR,2020,162
Turkey,TUR,2021,50
Turkey,TUR,2022,25
Uganda,UGA,2013,236
Uganda,UGA,2017,41
Uganda,UGA,2018,49
Uganda,UGA,2020,35
Uganda,UGA,2021,85
Uganda,UGA,2022,227
Ukraine,UKR,2015,5
United Kingdom,GBR,2009,60
United Kingdom,GBR,2010,18
United Kingdom,GBR,2011,56
United Kingdom,GBR,2012,42
United Kingdom,GBR,2013,44
United Kingdom,GBR,2014,52
United Kingdom,GBR,2015,41
United Kingdom,GBR,2016,39
United Kingdom,GBR,2017,1304
United Kingdom,GBR,2018,2248
United Kingdom,GBR,2019,3470
United Kingdom,GBR,2020,3843
United Kingdom,GBR,2021,4314
United States,USA,2010,38
United States,USA,2011,41
United States,USA,2012,63
