yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,majorityStatusAtExploit,majorityEntry,citizenship,meansOfControlDebtBondage,meansOfControlTakesEarnings,meansOfControlRestrictsFinancialAccess,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlFalsePromises,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlRestrictsMedicalCare,meansOfControlExcessiveWorkingHours,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,meansOfControlWithholdsNecessities,meansOfControlWithholdsDocuments,meansOfControlOther,meansOfControlNotSpecified,meansOfControlConcatenated,isForcedLabour,isSexualExploit,isOtherExploit,isSexAndLabour,isForcedMarriage,isForcedMilitary,isOrganRemoval,isSlaveryAndPractices,typeOfExploitConcatenated,typeOfLabourAgriculture,typeOfLabourAquafarming,typeOfLabourBegging,typeOfLabourConstruction,typeOfLabourDomesticWork,typeOfLabourHospitality,typeOfLabourIllicitActivities,typeOfLabourManufacturing,typeOfLabourMiningOrDrilling,typeOfLabourPeddling,typeOfLabourTransportation,typeOfLabourOther,typeOfLabourNotSpecified,typeOfLabourConcatenated,typeOfSexProstitution,typeOfSexPornography,typeOfSexRemoteInteractiveServices,typeOfSexPrivateSexualServices,typeOfSexConcatenated,isAbduction,RecruiterRelationship,CountryOfExploitation,recruiterRelationIntimatePartner,recruiterRelationFriend,recruiterRelationFamily,recruiterRelationOther,recruiterRelationUnknown,record_id,Entity,Code,Year,"16.2.2 - Detected victims of human trafficking, by age and sex (number) - VC_HTF_DETV - under 18 years old - Female"
2002,Case Management,Female,18--20,Adult,,,CO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,Sexual exploitation,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0,Algeria,DZA,2016,7
2002,Case Management,Female,18--20,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,1,Angola,AGO,2017,12
2002,Case Management,Female,18--20,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,2,Angola,AGO,2018,5
2002,Case Management,Female,18--20,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,RS,0.0,0.0,0.0,0.0,1.0,3,Angola,AGO,2019,5
2002,Case Management,Female,18--20,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,4,Argentina,ARG,2010,7
2002,Case Management,Female,18--20,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,BA,0.0,0.0,0.0,0.0,1.0,5,Argentina,ARG,2011,11
2002,Case Management,Female,18--20,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,MK,0.0,0.0,0.0,0.0,1.0,6,Argentina,ARG,2012,5
2002,Case Management,Female,18--20,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,RS,0.0,0.0,0.0,0.0,1.0,7,Argentina,ARG,2013,10
2002,Case Management,Female,18--20,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,8,Argentina,ARG,2014,6
2002,Case Management,Female,21--23,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,9,Argentina,ARG,2015,13
